,Absorbs,Attack,Attack_Visual,Control,Defense,Drops,Exp,Elemental_Immunity,Evasion,Gil,HP,ID,Imp_Criticals,Inherent_Status,Level,Location,MP,MP_Kill,Magic_Attack,Magic_Defense,Magic_Evasion,Metamorphose,Other_Immunity,Rage,Run_Difficulty,SNES_Name,Sketch,Special_Attack,Speed,Status_Immunity,Steal,Type,Vulnerable_to,Weak_Against,Boss,iOS,Dragon_Den
Land Grillon,None,15,Fist,"Attack, Wing Snap",115,Smoke Bomb (1/8),292,None,0,410,977,100,No,Float,23,Esper Caves (Slopes),80,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Wing Snap,Easy,Insecare,"Attack (3/4), Wing Snap (1/4)",Wing Snap (inflicts 'Berserk'),35,"Darkness, Imp, Silence, Confusion, Sleep",Echo Screen (7/8),N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Berserk, Sap, Slow, Stop","Fire, Wind",0,0,0
Land Ray,None,6,Fist,"Attack, Poison Tail, Mighty Guard",5,None,1,None,0,0,1,119,No,"Sap, Protect",23,Solitary Island (Desert) [WoR] Southern Continent (Desert) [WoR],18,No,10,5,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Mighty Guard,Easy,EarthGuard,"Mighty Guard (3/4), Poison Tail (1/4)",Poison Tail (inflicts 'Poison'),45,"Darkness, Imp, Petrify, Doom, Sleep",Megalixir (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Death, Critical, Image Silence, Berserk, Confusion, Sap, Slow, Stop",Water,0,0,0
Landworm,Earth,13,Fist,"Attack, Constrict, Magnitude 8, Hailstone",80,None,4600,None,0,0,12000,247,No,None,59,"Kefka's Tower (After Inferno/Before Skull Dragon, Party #3) [WoR]",1300,No,8,120,0,"Potion, Potion, Potion, Elixir (32/256)",Meteor Strike,Magnitude 8,Can't Run Away,Land Worm,"Magnitude 8 (3/4), Constrict (1/4)",Constrict (200% damage),30,Imp,X-Potion (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Ice,0,0,0
Laragorn,"Ice, Wind",2,Fist,"Attack, Hit",90,None,0,None,0,0,10000,324,No,Float,47,Cyan's Dream/Dreamscape (One of the Three Dream Stooges) [WoR],2000,No,5,120,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Larry,"Attack (3/4), Hit (1/4)",Hit (200% damage),30,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Critical Berserk, Sap, Sleep, Stop",None,Humanoid,"Darkness, Death, Doom, Image, Silence, Confusion, Slow",Fire,1,0,0
Laser Gun,None,12,Fist,"Attack, Hit",130,None,0,None,0,0,3300,303,No,None,24,Air (After you get blown off Blackjack by Typhon),335,No,9,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Meteor Strike,None,Can't Run Away,Laser Gun,"Attack (3/4), Hit (1/4)",Hit (150% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",X-Ether (7/8),N/A,"Slow, Stop","Lightning, Water",1,0,0
Leaf Bunny,Ice,13,Fist,"Attack, Incisors",60,Potion (1/8),24,None,0,45,33,7,No,None,5,"Around Narshe (Overworld, Grass/forest) [WoB] Triangle Island (Grass/Forest) [WoB]",0,No,10,140,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Incisors,Easy,Leafer,"Attack (3/4), Incisors (1/4)",Incisors (150% damage),30,None,Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop","Fire, Water",0,0,0
Leap Frog,None,13,Fist,"Attack, Tongue, Sticky Goo",130,None,1550,None,0,2600,3511,174,No,None,52,"South-Western Continent (Grass, Forest, Desert [North]) [WoR] Northern-Middle Continent (Grass) [WoR]",220,No,7,145,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Sticky Goo,Easy,Reach Frog,"Sticky Goo (3/4), Tongue (1/4)",Tongue (inflicts 'Sap'),35,"Poison, Berserk, Confusion, Sleep","Hi-Potion (7/8), Pinwheel (1/8)",N/A,"Darkness, Zombie, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Image, Silence, Sap, Slow, Stop",Ice,0,0,0
Left Blade,Ice,13,Rune Blade,"Attack, Slash",120,None,0,None,0,0,700,295,No,None,22,Magitek Research Facility (Mine Cart; Part of Boss),470,No,5,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Left Blade,"Attack (3/4), Slash (1/4)",Slash (200% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image Silence, Berserk, Confusion, Sap, Sleep",Ether (1/8),N/A,"Petrify, Death, Doom, Critical, Slow, Stop",None,1,0,0
Lenergia,None,13,Ice Rod,"Attack, Silencing Strike, Shamshir",170,None,438,None,0,250,470,83,No,Float,19,Magitek Research Facility (After Stair Room),63,No,8,120,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",Meteor Strike,Shamshir,Easy,Gobbler,"Shamshir (3/4), Silencing Strike (1/4)",Silencing Strike (inflicts 'Silence'),30,Imp,"Green Cherry (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",None,0,0,0
Lesser Lopros,None,25,Dragon Claws,"Attack, Wing, Fireball",65,Hi-Potion (1/8),464,None,0,325,380,21,No,Float,12,Lethe River [WoB],70,No,10,180,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",Meteor Strike,Fireball,Easy,Pterodon,"Fireball (3/4), Wing (1/4)",Wing (inflicts 'Sap'),45,Imp,"Mythril Knife (7/8), Main Gauche (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Fire,0,0,0
Level 10 Magic,Poison,10,Ice Rod,"Attack, Thunder, Slow, Haste",200,Ether (1/8),0,None,100,0,1000,222,No,Float,48,Cultists' Tower (1st/2nd/3rd Area) [WoR],300,Yes,22,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,None,Can't Run Away,L.10 Magic,"Slow (3/4), Thunder (1/4)",Hit (150% damage),33,"Imp, Death, Doom, Critical, Sleep, Slow, Stop",Ether (1/8),"Humanoid, Undead","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Image Silence, Berserk, Confusion, Sap","Fire, Holy",0,0,0
Level 20 Magic,Poison,10,Chain Flail,"Attack, Graviga, Rasp, Protect",200,Ether (1/8),0,None,100,0,2000,223,No,Reflect,51,Cultists' Tower (1st/2nd Area) [WoR],500,Yes,21,145,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,None,Can't Run Away,L.20 Magic,"Rasp (3/4), Graviga (1/4)",Hit (150% damage),35,"Imp, Petrify, Silence, Berserk, Sleep, Stop",Ether (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Death, Doom Critical, Image, Confusion, Sap, Slow",None,0,0,0
Level 30 Magic,Holy,10,Sasuke,"Attack, Thundara, Osmose, Reflect",200,Ether (1/8),0,None,100,0,3000,224,No,None,54,Cultists' Tower (1st/2nd/3rd Area) [WoR],700,Yes,20,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,None,Can't Run Away,L.30 Magic,"Osmose (3/4), Thundara (1/4)",Hit (150% damage),36,"Darkness, Imp, Silence, Confusion, Stop",Ether (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Berserk, Sap, Sleep, Slow",Poison,0,0,0
Level 40 Magic,Poison,10,Fist,"Attack, Drain, Silence, Vanish",200,Ether (1/8),0,None,100,0,4000,225,No,Float,55,Cultists' Tower (1st/2nd/3rd Area; Top) [WoR],1000,Yes,19,135,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,None,Can't Run Away,L.40 Magic,"Silence (3/4), Drain (1/4)",Hit (150% damage),38,"Darkness, Imp, Death, Doom, Berserk, Confusion, Sleep Slow, Stop",Ether (1/8),Humanoid,"Zombie, Poison, MagiTek, Invisible, Petrify, Critical, Image Silence, Sap",Lightning,0,0,0
Level 50 Magic,Poison,10,Ice Rod,"Attack, Bio, Berserk, Hastega",200,Ether (1/8),0,None,100,0,5000,226,No,None,57,Cultists' Tower (2nd/3rd Area; Inside [Except Air Anchor Room]) [WoR],2000,Yes,18,130,0,"Remedy, Remedy, Remedy, Remedy (128/256)",None,None,Can't Run Away,L.50 Magic,"Berserk (3/4), Bio (1/4)",Hit (150% damage),45,"Darkness, Zombie, Poison, Imp, Petrify, Berserk, Sleep",Hi-Ether (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Silence Confusion, Sap, Slow, Stop","Fire, Holy",0,0,0
Level 60 Magic,Ice,10,Fist,"Attack, Quake, Slowga, Regen",200,Ether (1/8),0,None,100,0,6000,227,No,Float,58,Cultists' Tower (2nd/3rd/4th Area; Top) [WoR],5000,Yes,17,125,0,"Potion, Potion, Potion, Safety Bit (32/256)","Meteor Strike, Control",None,Can't Run Away,L.60 Magic,"Slowga (3/4), Quake (1/4)",Hit (150% damage),35,"Darkness, Poison, Imp, Death, Doom, Berserk, Confusion Stop",Hi-Ether (1/8),Humanoid,"Zombie, MagiTek, Invisible, Petrify, Critical, Image, Silence Sap, Sleep, Slow",Fire,0,0,0
Level 70 Magic,Fire,10,Sasuke,"Attack, Firaga, Blizzaga, Thundaga",200,Ether (1/8),0,None,100,0,7000,228,No,Reflect,56,Cultists' Tower (3rd Area) [WoR],3000,Yes,16,120,0,"Potion, Potion, Potion, Elixir (64/256)",None,None,Can't Run Away,L.70 Magic,"Blizzaga (3/4), Firaga (1/4)",Hit (150% damage),40,"Poison, Imp, Critical, Berserk, Confusion, Sleep",Hi-Ether (1/8),Humanoid,"Darkness, Zombie, MagiTek, Invisible, Petrify, Death, Doom Image, Silence, Sap, Slow, Stop","Ice, Water",0,0,0
Level 80 Magic,None,10,Fist,"Attack, Reflect, Curaga, Esuna",200,Ether (1/8),0,None,100,0,8000,229,No,None,53,Cultists' Tower (4th Area; Top) [WoR],2800,Yes,15,115,0,"Potion, Potion, Potion, Ribbon (32/256)",None,None,Can't Run Away,L.80 Magic,"Curaga (3/4), Reflect (1/4)",Hit (150% damage),37,"Imp, Silence, Berserk, Confusion, Slow, Stop",Hi-Ether (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Sap, Sleep",Poison,0,0,0
Level 90 Magic,Wind,10,Fist,"Attack, Meteor, Meltdown, Tornado",200,Ether (1/8),0,"Holy, Earth, Water",100,0,9000,230,No,Reflect,55,Cultists' Tower (4th Area; Top; Inside [Except Air Anchor Room]) [WoR],9000,Yes,14,110,0,"Potion, Potion, Potion, Safety Bit (32/256)",Meteor Strike,None,Can't Run Away,L.90 Magic,"Meltdown (3/4), Meteor (1/4)",Hit (150% damage),38,"Imp, Petrify, Death, Doom, Critical, Silence, Sleep",Hi-Ether (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Berserk Confusion, Sap, Slow, Stop",None,0,0,0
Leviathan,Water,22,Partisan,Attack,140,None,0,None,20,10000,32000,346,No,None,91,Ocean (Take ferry from Nikeah to South Figaro) [WoR],7000,No,14,120,20,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,,"Tsunami (3/4), Entangle (1/4)",Entangle (inflicts 'Slow'),61,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop",None,N/A,Nothing,None,1,1,0
Lich,"Fire, Poison",1,Fist,"Attack, Fire, Fira, Firaga",50,Green Cherry (1/8),374,None,0,350,590,91,No,Float,20,Cave to the Sealed Gate (First Cave; B1F),90,Yes,10,190,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Fira,Easy,Lich,"Fira (3/4), Fire (1/4)",Insanitouch (inflicts 'Confusion'),35,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep, Slow, Stop","Green Cherry (7/8), Poison Rod (1/8)",Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap",Holy,0,0,0
Litwor Chicken,None,11,Ice Rod,"Attack, Lick, Quake",150,None,190,None,0,279,545,68,No,None,18,Grass on Southern Continent (Near Albrook and South-East) Forest on Southern Continent,155,No,3,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Quake,Easy,ChickenLip,"Quake (3/4), Lick (1/4)",Lick (inflicts 'Silence'),30,"Poison, Imp, Petrify, Death, Doom, Silence, Sleep","Potion (7/8), Sleeping Bag (1/8)",N/A,"Darkness, Zombie, MagiTek, Invisible, Critical, Image, Berserk Confusion, Sap, Slow, Stop",Ice,0,0,0
Living Dead,Poison,10,Dagger,"Attack, Sapping Touch",100,Hi-Potion (1/8),54,None,0,135,200,46,No,None,12,Phantom Train,84,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Osmose,Easy,StillGoing,"Attack (3/4), Sapping Touch (1/4)",Sapping Touch (inflicts 'Sap'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",None,"Humanoid, Undead","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Lizard,Poison,14,Fist,"Attack, Break, Dischord",102,Gold Needle (1/8),297,None,0,356,1280,128,No,None,26,"Serpent Trench (Grass, Wasteland [North]) [WoR]",70,No,10,153,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Break,Easy,Lizard,"Esuna (3/4), Imp (1/4)",Imp Gaze (inflicts 'Imp'),30,"Petrify, Critical, Silence",Blood Sword (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death Doom, Image, Berserk, Confusion, Sap, Sleep, Slow Stop",Ice,0,0,0
Long Arm,None,35,Fist,"Attack, Blood Claw",110,None,0,None,5,0,33000,357,No,None,73,Kefka's Tower (Final Battle; 1st Tier) [WoR],10000,No,30,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Sketch, Control",None,Can't Run Away,Long Arm,"Attack (3/4), Blood Claw (1/4)",Blood Claw (steals HP),39,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Doom Critical, Image, Silence, Confusion, Sap, Sleep, Slow Stop",Elixir (7/8),N/A,"Petrify, Death, Berserk",Wind,1,0,0
Lukhavi,None,13,Fist,"Attack, Claw Swipe",145,Hi-Potion (1/8),697,None,0,298,1877,184,No,Protect,32,Narshe [WoR],100,No,10,105,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Snowstorm,Easy,Nastidon,"Attack (3/4), Claw Swipe (1/4)",Claw Swipe (150% damage),35,"Death, Doom","Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop",Fire,0,0,0
Luna Wolf,None,13,Dragon Claws,"Attack, Face Chomp",155,None,308,None,0,247,582,120,No,None,26,Southern Continent (Wasteland) [WoR],25,No,10,145,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Face Chomp,Easy,Lunaris,"Attack (3/4), Face Chomp (1/4)",Face Chomp (inflicts 'Darkness'),25,"Death, Doom, Critical, Silence, Sleep",Hi-Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Image, Berserk, Confusion, Sap, Slow, Stop",None,0,0,0
Lunatys,None,13,Fist,"Attack, Electrode, Meteor, Hailstone",90,None,1504,None,0,465,4020,217,No,"Float, Reflect",45,Ancient Castle (inside) [WoR],105,Yes,7,250,0,"Potion, Potion, Potion, Safety Bit (32/256)",Meteor Strike,Meteor,Easy,Boxed Set,"Meteor (3/4), Electrode (1/4)",Electrode (300% damage),30,"Poison, Imp, Critical",Antidote (1/8),N/A,"Darkness, Zombie, MagiTek, Invisible, Petrify, Death, Doom Image, Silence, Berserk, Confusion, Sap, Sleep, Slow Stop",Holy,0,0,0
Luridan,None,12,Ice Rod,"Attack, Ram, Rock Slide, Cave In",210,None,707,None,25,1000,2079,150,No,Float,34,Mt. Zozo (Any Slopes) [WoR],122,No,10,125,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Rock Slide,Easy,Luridan,"Rock Slide (3/4), Ram (1/4)",Ram (200% damage),33,"Darkness, Imp, Berserk, Confusion, Sleep",Hi-Potion (7/8),N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Silence, Sap, Slow, Stop","Fire, Wind",0,0,0
Lycaon,None,30,Dragon Claws,"Attack, Scratch, Acid Rain",100,None,1356,None,50,1524,250,180,Yes,None,50,South-Western Continent (Wasteland) [WoR] Northern-Middle Continent (Grass) [WoR] North-Eastern Continent (Grass) [WoR],20,No,10,200,0,"Potion, Potion, Potion, Tintinnabulum (32/256)",None,Blaster,Easy,Spek Tor,"Blaster (3/4), Scratch (1/4)",Scratch (150% damage),70,"Death, Doom, Silence",X-Potion (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image, Berserk, Confusion, Sap, Sleep, Slow Stop",Water,0,0,0
Machine,None,13,Partisan,"Attack, Hit",105,None,0,None,0,0,24000,360,No,Float,73,Kefka's Tower (Final Battle; 2nd Tier) [WoR],10000,No,10,153,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Sketch, Control",None,Can't Run Away,Tools,"Attack (3/4), Hit (1/4)",Hit (150% damage),29,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Haste, Shell, Safe, Reflect",Elixir (7/8),N/A,"Death, Doom, Slow, Stop",Lightning,1,0,0
Magic,None,1,Dagger,"Attack, Hit",145,None,0,None,0,0,41000,361,No,Float,72,Kefka's Tower (Final Battle; 2nd Tier) [WoR],10000,No,8,125,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Sketch, Control",None,Can't Run Away,Magic,"Attack (3/4), Hit (1/4)",Hit (150% damage),35,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Berserk, Confusion, Sap Sleep, Slow, Stop, Haste, Shell, Safe, Reflect",Elixir (7/8),Humanoid,Silence,Earth,1,0,0
Magic Dragon,None,14,Fist,"Attack, Lv. 3 Confuse, Lv. 4 Flare, Lv. ? Holy",180,None,5000,None,0,950,18000,273,No,None,72,Dragon's Den (Grand Cavern) [WoR],10000,No,18,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",None,None,Easy,,"Attack (3/4), Lv. ? Holy (1/4)",Wonder Wing (200% damage),57,"Darkness, Poison, Death, Doom, Critical, Berserk, Confusion Sleep, Slow, Stop",X-Ether (1/8),N/A,"Zombie, MagiTek, Invisible, Imp, Petrify, Image, Silence Sap","Ice, Water",0,1,1
Magic Master,None,1,Trident,"Attack, Ultima",250,Megalixir (Always),0,None,100,0,50000,330,No,None,68,Cultists' Tower (Roof after getting Soul of Thamasa) [WoR],50000,Yes,25,100,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,MagiMaster,Attack (Always),Hit (150% damage),90,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Confusion, Sap Sleep, Slow, Stop","Elixir (7/8), Crystal Orb (1/8)",Humanoid,Berserk,None,1,0,0
Magic Urn,"Fire, Ice, Lightning, Poison, Wind, Holy, Earth, Water",5,Fist,"Attack, Esuna, Curaga, Tornado",220,None,0,None,100,0,100,221,No,None,31,Cultists' Tower (Everywhere) [WoR],10000,Yes,35,190,0,"Potion, Potion, Potion, Megalixir (16/256)",None,Curaga,Easy,Magic Urn,"Curaga (3/4), Esuna (1/4)",Whack (150% damage),40,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop","Potion (7/8), Elixir (1/8)",N/A,Nothing,None,0,0,0
Magitek Armor,None,18,Fist,"Attack, Magitek Laser",30,Hi-Potion (7/8),0,None,0,0,210,279,No,Protect,8,Escaping from Figaro Castle (after Kefka burns it) Imperial Camp,250,No,3,130,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",Control,Magitek Laser,Can't Run Away,M-TekArmor,"Attack (3/4), Magitek Laser (1/4)",Metal Kick (150% damage),25,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Sap","Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Critical, Image, Silence, Berserk, Confusion, Sleep Slow, Stop",Lightning,1,0,0
Magna Roader (Brown),None,14,Fist,"Attack, Slam",105,Flame Scroll (1/8),647,None,0,284,1380,186,No,Haste,32,Narshe Mines (North Mines and 1st Cave of West Mines)[WoR],70,Yes,10,150,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (128/256)",None,Lv.4 Flare,Hard,Mag Roader,"Attack (3/4), Slam (1/4)",Slam (200% damage),33,"Darkness, Poison, Imp, Silence","Lightning Scroll (7/8), Shuriken (1/8)",N/A,"Zombie, MagiTek, Invisible, Petrify, Death, Doom, Critical Image, Berserk, Confusion, Sap, Sleep, Slow, Stop",None,0,0,0
Magna Roader (Purple),Ice,12,Fist,"Attack, Wheel",25,Water Scroll (1/8),232,None,0,277,420,84,No,Protect,19,Magitek Research Facility (Mine Cart),100,No,1,140,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (32/256)",None,Bio,Can't Run Away,Mag Roader,"Attack (3/4), Wheel (1/4)",Wheel (150% damage),30,"Imp, Petrify, Death, Doom, Critical, Silence, Confusion Sleep","Lightning Scroll (7/8), Shuriken (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Berserk Sap, Slow, Stop",Fire,0,0,0
Magna Roader (Red),None,10,Fist,"Attack, Slam",20,Flame Scroll (1/8),198,None,0,300,250,85,No,Haste,18,Magitek Research Facility (Mine Cart),100,No,1,140,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Silence,Can't Run Away,Mag Roader,"Attack (3/4), Slam (1/4)",Slam (150% damage),25,"Imp, Petrify, Death, Doom, Critical, Berserk, Sleep","Lightning Scroll (7/8), Shuriken (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Silence Confusion, Sap, Slow, Stop",Ice,0,0,0
Magna Roader (Yellow),None,13,Fist,"Attack, Wheel",115,Water Scroll (1/8),621,None,0,352,1777,185,No,None,32,Narshe Mines (North Mines and 1st Cave of West Mines) [WoR],100,Yes,10,145,0,"Golden Spear, Golden Shield, Golden Helm, Golden Armor (32/256)",None,Haste,Hard,Mag Roader,"Attack (3/4), Wheel (1/4)",Wheel (150% damage),33,"Poison, Imp, Petrify, Silence","Lightning Scroll (7/8), Shuriken (1/8)",N/A,"Darkness, Zombie, MagiTek, Invisible, Death, Doom, Critical Image, Berserk, Confusion, Sap, Sleep, Slow, Stop",None,0,0,0
Mahadeva,Poison,13,Dragon Claws,"Attack, Rib, Death, Banish",150,Teleport Stone (1/8),1510,None,30,393,3826,232,No,None,38,Ebot's Rock (Rooms with Coral Chests) [WoR],1327,Yes,10,135,0,"Remedy, Remedy, Remedy, Remedy (64/256)",None,Death,Easy,Displayer,"Death (3/4), Rib (1/4)",Rib (200% damage),44,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Teleport Stone (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Malboro,"Poison, Water",20,Fist,"Attack, Drool, Bad Breath",95,"Holy Water (7/8), Remedy (1/8)",780,None,0,2292,2900,144,No,None,30,"Darill's Tomb (B2F, B3F) [WoR]",980,No,10,145,0,"Remedy, Remedy, Remedy, Remedy (128/256)",None,Bad Breath,Easy,Mad Oscar,"Bad Breath (3/4), Drool (1/4)",Drool (inflicts 'Sap'),30,"Imp, Doom, Critical, Silence, Sleep",X-Potion (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Image, Berserk, Confusion, Sap, Slow, Stop",Fire,0,0,0
Malboro Menace,"Ice, Lightning, Poison, Wind, Holy, Earth, Water",13,Fist,"Attack, Tentacle, Bad Breath",144,Potion (1/8),5000,None,0,0,15000,372,No,None,92,Dragon's Den (Cloister of Trials) [WoR],2000,No,9,109,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,,"Attack (3/4), Tentacle (1/4)",Tentacle (inflicts 'Poison'),49,"Darkness, Invisible, Imp, Petrify, Critical, Silence, Berserk Confusion, Stop","Potion (7/8), Hi-Potion (1/8)",N/A,"Zombie, Poison, MagiTek, Death, Doom, Image, Sap Sleep, Slow",Fire,1,1,1
Mandrake,Water,16,Sasuke,"Attack, Stonetouch, Leech",115,Remedy (1/8),378,None,0,450,1150,102,No,Confusion,23,Esper Caves (Slopes),104,No,10,125,0,"Remedy, Remedy, Remedy, Remedy (255/256)",Meteor Strike,Leech,Easy,Mandrake,"Leech (3/4), Stonetouch (1/4)",Stonetouch (inflicts 'Petrify'),30,"Darkness, Poison, Invisible, Imp, Petrify, Death, Doom Image, Silence, Berserk, Confusion, Sleep",Hi-Potion (Always),N/A,"Zombie, MagiTek, Critical, Sap, Slow, Stop",Fire,0,0,0
Marchosias,None,19,Ice Rod,"Attack, Talon, Aero",102,None,449,None,0,909,1418,140,No,Float,29,North-Western Continent (Grass/Forest) [WoR],100,No,10,153,0,"Potion, Potion, Potion, Growth Egg (32/256)",Meteor Strike,Aero,Easy,Harpiai,"Aero (3/4), Talon (1/4)",Talon (150% damage),30,"Imp, Petrify, Death, Doom, Critical, Confusion, Sleep Slow, Stop",Phoenix Down (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Silence Berserk, Sap",Wind,0,0,0
Master Tonberry,Water,13,Dagger,"Attack, Knife",100,Gladius (Always),0,None,0,0,22000,328,No,None,73,Cave to the Ancient Castle (Monster-in-a-Box) [WoR],1200,No,9,165,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,Master Pug,"Attack (3/4), Knife (1/4)",Knife (800% damage),45,"Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sap, Stop","Elixir (7/8), Megalixir (1/8)",N/A,"Darkness, Poison, Image, Sleep, Slow",None,1,0,0
