SNES_Name,Absorbs,Attack,Attack_Visual,Control,Defense,Drops,Exp,Elemental_Immunity,Evasion,Gil,HP,ID,Imp_Criticals,Inherent_Status,Level,Location,MP,MP_Kill,Magic_Attack,Magic_Defense,Magic_Evasion,Metamorphose,Other_Immunity,Rage,Run_Difficulty,Sketch,Special_Attack,Speed,Status_Immunity,Steal,Type,Vulnerable_to,Weak_Against,Boss,iOS,Dragon_Den
Left Blade,Ice,13,Rune Blade,"Attack, Slash",120,None,0,None,0,0,700,295,No,None,22,Magitek Research Facility (Mine Cart; Part of Boss),470,No,5,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,"Attack (3/4), Slash (1/4)",Slash (200% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image Silence, Berserk, Confusion, Sap, Sleep",Ether (1/8),N/A,"Petrify, Death, Doom, Critical, Slow, Stop",None,1,0,0
Gobbler,None,13,Ice Rod,"Attack, Silencing Strike, Shamshir",170,None,438,None,0,250,470,83,No,Float,19,Magitek Research Facility (After Stair Room),63,No,8,120,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",Meteor Strike,Shamshir,Easy,"Shamshir (3/4), Silencing Strike (1/4)",Silencing Strike (inflicts 'Silence'),30,Imp,"Green Cherry (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",None,0,0,0
Pterodon,None,25,Dragon Claws,"Attack, Wing, Fireball",65,Hi-Potion (1/8),464,None,0,325,380,21,No,Float,12,Lethe River [WoB],70,No,10,180,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",Meteor Strike,Fireball,Easy,"Fireball (3/4), Wing (1/4)",Wing (inflicts 'Sap'),45,Imp,"Mythril Knife (7/8), Main Gauche (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Silence, Berserk, Confusion, Sap Sleep, Slow, Stop",Fire,0,0,0
L.10 Magic,Poison,10,Ice Rod,"Attack, Thunder, Slow, Haste",200,Ether (1/8),0,None,100,0,1000,222,No,Float,48,Cultists' Tower (1st/2nd/3rd Area) [WoR],300,Yes,22,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,None,Can't Run Away,"Slow (3/4), Thunder (1/4)",Hit (150% damage),33,"Imp, Death, Doom, Critical, Sleep, Slow, Stop",Ether (1/8),"Humanoid, Undead","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Image Silence, Berserk, Confusion, Sap","Fire, Holy",0,0,0
L.20 Magic,Poison,10,Chain Flail,"Attack, Graviga, Rasp, Protect",200,Ether (1/8),0,None,100,0,2000,223,No,Reflect,51,Cultists' Tower (1st/2nd Area) [WoR],500,Yes,21,145,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,None,Can't Run Away,"Rasp (3/4), Graviga (1/4)",Hit (150% damage),35,"Imp, Petrify, Silence, Berserk, Sleep, Stop",Ether (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Death, Doom Critical, Image, Confusion, Sap, Slow",None,0,0,0
L.30 Magic,Holy,10,Sasuke,"Attack, Thundara, Osmose, Reflect",200,Ether (1/8),0,None,100,0,3000,224,No,None,54,Cultists' Tower (1st/2nd/3rd Area) [WoR],700,Yes,20,140,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,None,Can't Run Away,"Osmose (3/4), Thundara (1/4)",Hit (150% damage),36,"Darkness, Imp, Silence, Confusion, Stop",Ether (1/8),N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Berserk, Sap, Sleep, Slow",Poison,0,0,0
L.40 Magic,Poison,10,Fist,"Attack, Drain, Silence, Vanish",200,Ether (1/8),0,None,100,0,4000,225,No,Float,55,Cultists' Tower (1st/2nd/3rd Area; Top) [WoR],1000,Yes,19,135,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,None,Can't Run Away,"Silence (3/4), Drain (1/4)",Hit (150% damage),38,"Darkness, Imp, Death, Doom, Berserk, Confusion, Sleep Slow, Stop",Ether (1/8),Humanoid,"Zombie, Poison, MagiTek, Invisible, Petrify, Critical, Image Silence, Sap",Lightning,0,0,0
L.50 Magic,Poison,10,Ice Rod,"Attack, Bio, Berserk, Hastega",200,Ether (1/8),0,None,100,0,5000,226,No,None,57,Cultists' Tower (2nd/3rd Area; Inside [Except Air Anchor Room]) [WoR],2000,Yes,18,130,0,"Remedy, Remedy, Remedy, Remedy (128/256)",None,None,Can't Run Away,"Berserk (3/4), Bio (1/4)",Hit (150% damage),45,"Darkness, Zombie, Poison, Imp, Petrify, Berserk, Sleep",Hi-Ether (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Silence Confusion, Sap, Slow, Stop","Fire, Holy",0,0,0
L.60 Magic,Ice,10,Fist,"Attack, Quake, Slowga, Regen",200,Ether (1/8),0,None,100,0,6000,227,No,Float,58,Cultists' Tower (2nd/3rd/4th Area; Top) [WoR],5000,Yes,17,125,0,"Potion, Potion, Potion, Safety Bit (32/256)","Meteor Strike, Control",None,Can't Run Away,"Slowga (3/4), Quake (1/4)",Hit (150% damage),35,"Darkness, Poison, Imp, Death, Doom, Berserk, Confusion Stop",Hi-Ether (1/8),Humanoid,"Zombie, MagiTek, Invisible, Petrify, Critical, Image, Silence Sap, Sleep, Slow",Fire,0,0,0
L.70 Magic,Fire,10,Sasuke,"Attack, Firaga, Blizzaga, Thundaga",200,Ether (1/8),0,None,100,0,7000,228,No,Reflect,56,Cultists' Tower (3rd Area) [WoR],3000,Yes,16,120,0,"Potion, Potion, Potion, Elixir (64/256)",None,None,Can't Run Away,"Blizzaga (3/4), Firaga (1/4)",Hit (150% damage),40,"Poison, Imp, Critical, Berserk, Confusion, Sleep",Hi-Ether (1/8),Humanoid,"Darkness, Zombie, MagiTek, Invisible, Petrify, Death, Doom Image, Silence, Sap, Slow, Stop","Ice, Water",0,0,0
L.80 Magic,None,10,Fist,"Attack, Reflect, Curaga, Esuna",200,Ether (1/8),0,None,100,0,8000,229,No,None,53,Cultists' Tower (4th Area; Top) [WoR],2800,Yes,15,115,0,"Potion, Potion, Potion, Ribbon (32/256)",None,None,Can't Run Away,"Curaga (3/4), Reflect (1/4)",Hit (150% damage),37,"Imp, Silence, Berserk, Confusion, Slow, Stop",Hi-Ether (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Doom, Critical, Image, Sap, Sleep",Poison,0,0,0
L.90 Magic,Wind,10,Fist,"Attack, Meteor, Meltdown, Tornado",200,Ether (1/8),0,"Holy, Earth, Water",100,0,9000,230,No,Reflect,55,Cultists' Tower (4th Area; Top; Inside [Except Air Anchor Room]) [WoR],9000,Yes,14,110,0,"Potion, Potion, Potion, Safety Bit (32/256)",Meteor Strike,None,Can't Run Away,"Meltdown (3/4), Meteor (1/4)",Hit (150% damage),38,"Imp, Petrify, Death, Doom, Critical, Silence, Sleep",Hi-Ether (1/8),Humanoid,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Berserk Confusion, Sap, Slow, Stop",None,0,0,0
Lich,"Fire, Poison",1,Fist,"Attack, Fire, Fira, Firaga",50,Green Cherry (1/8),374,None,0,350,590,91,No,Float,20,Cave to the Sealed Gate (First Cave; B1F),90,Yes,10,190,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",Meteor Strike,Fira,Easy,"Fira (3/4), Fire (1/4)",Insanitouch (inflicts 'Confusion'),35,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep, Slow, Stop","Green Cherry (7/8), Poison Rod (1/8)",Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap",Holy,0,0,0
ChickenLip,None,11,Ice Rod,"Attack, Lick, Quake",150,None,190,None,0,279,545,68,No,None,18,Grass on Southern Continent (Near Albrook and South-East) Forest on Southern Continent,155,No,3,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Quake,Easy,"Quake (3/4), Lick (1/4)",Lick (inflicts 'Silence'),30,"Poison, Imp, Petrify, Death, Doom, Silence, Sleep","Potion (7/8), Sleeping Bag (1/8)",N/A,"Darkness, Zombie, MagiTek, Invisible, Critical, Image, Berserk Confusion, Sap, Slow, Stop",Ice,0,0,0
StillGoing,Poison,10,Dagger,"Attack, Sapping Touch",100,Hi-Potion (1/8),54,None,0,135,200,46,No,None,12,Phantom Train,84,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Osmose,Easy,"Attack (3/4), Sapping Touch (1/4)",Sapping Touch (inflicts 'Sap'),30,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",None,"Humanoid, Undead","MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Lizard,Poison,14,Fist,"Attack, Break, Dischord",102,Gold Needle (1/8),297,None,0,356,1280,128,No,None,26,"Serpent Trench (Grass, Wasteland [North]) [WoR]",70,No,10,153,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Break,Easy,"Esuna (3/4), Imp (1/4)",Imp Gaze (inflicts 'Imp'),30,"Petrify, Critical, Silence",Blood Sword (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Death Doom, Image, Berserk, Confusion, Sap, Sleep, Slow Stop",Ice,0,0,0
Long Arm,None,35,Fist,"Attack, Blood Claw",110,None,0,None,5,0,33000,357,No,None,73,Kefka's Tower (Final Battle; 1st Tier) [WoR],10000,No,30,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Sketch, Control",None,Can't Run Away,"Attack (3/4), Blood Claw (1/4)",Blood Claw (steals HP),39,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Doom Critical, Image, Silence, Confusion, Sap, Sleep, Slow Stop",Elixir (7/8),N/A,"Petrify, Death, Berserk",Wind,1,0,0
Nastidon,None,13,Fist,"Attack, Claw Swipe",145,Hi-Potion (1/8),697,None,0,298,1877,184,No,Protect,32,Narshe [WoR],100,No,10,105,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Snowstorm,Easy,"Attack (3/4), Claw Swipe (1/4)",Claw Swipe (150% damage),35,"Death, Doom","Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Slow, Stop",Fire,0,0,0
Lunaris,None,13,Dragon Claws,"Attack, Face Chomp",155,None,308,None,0,247,582,120,No,None,26,Southern Continent (Wasteland) [WoR],25,No,10,145,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (255/256)",None,Face Chomp,Easy,"Attack (3/4), Face Chomp (1/4)",Face Chomp (inflicts 'Darkness'),25,"Death, Doom, Critical, Silence, Sleep",Hi-Potion (Always),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Image, Berserk, Confusion, Sap, Slow, Stop",None,0,0,0
Boxed Set,None,13,Fist,"Attack, Electrode, Meteor, Hailstone",90,None,1504,None,0,465,4020,217,No,"Float, Reflect",45,Ancient Castle (inside) [WoR],105,Yes,7,250,0,"Potion, Potion, Potion, Safety Bit (32/256)",Meteor Strike,Meteor,Easy,"Meteor (3/4), Electrode (1/4)",Electrode (300% damage),30,"Poison, Imp, Critical",Antidote (1/8),N/A,"Darkness, Zombie, MagiTek, Invisible, Petrify, Death, Doom Image, Silence, Berserk, Confusion, Sap, Sleep, Slow Stop",Holy,0,0,0
Luridan,None,12,Ice Rod,"Attack, Ram, Rock Slide, Cave In",210,None,707,None,25,1000,2079,150,No,Float,34,Mt. Zozo (Any Slopes) [WoR],122,No,10,125,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Rock Slide,Easy,"Rock Slide (3/4), Ram (1/4)",Ram (200% damage),33,"Darkness, Imp, Berserk, Confusion, Sleep",Hi-Potion (7/8),N/A,"Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom Critical, Image, Silence, Sap, Slow, Stop","Fire, Wind",0,0,0
Spek Tor,None,30,Dragon Claws,"Attack, Scratch, Acid Rain",100,None,1356,None,50,1524,250,180,Yes,None,50,South-Western Continent (Wasteland) [WoR] Northern-Middle Continent (Grass) [WoR] North-Eastern Continent (Grass) [WoR],20,No,10,200,0,"Potion, Potion, Potion, Tintinnabulum (32/256)",None,Blaster,Easy,"Blaster (3/4), Scratch (1/4)",Scratch (150% damage),70,"Death, Doom, Silence",X-Potion (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image, Berserk, Confusion, Sap, Sleep, Slow Stop",Water,0,0,0
Tools,None,13,Partisan,"Attack, Hit",105,None,0,None,0,0,24000,360,No,Float,73,Kefka's Tower (Final Battle; 2nd Tier) [WoR],10000,No,10,153,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Sketch, Control",None,Can't Run Away,"Attack (3/4), Hit (1/4)",Hit (150% damage),29,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Critical, Image, Silence, Berserk, Confusion, Sap, Sleep Haste, Shell, Safe, Reflect",Elixir (7/8),N/A,"Death, Doom, Slow, Stop",Lightning,1,0,0
Magic,None,1,Dagger,"Attack, Hit",145,None,0,None,0,0,41000,361,No,Float,72,Kefka's Tower (Final Battle; 2nd Tier) [WoR],10000,No,8,125,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Libra, Sketch, Control",None,Can't Run Away,"Attack (3/4), Hit (1/4)",Hit (150% damage),35,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Berserk, Confusion, Sap Sleep, Slow, Stop, Haste, Shell, Safe, Reflect",Elixir (7/8),Humanoid,Silence,Earth,1,0,0
MagiMaster,None,1,Trident,"Attack, Ultima",250,Megalixir (Always),0,None,100,0,50000,330,No,None,68,Cultists' Tower (Roof after getting Soul of Thamasa) [WoR],50000,Yes,25,100,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,Attack (Always),Hit (150% damage),90,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Confusion, Sap Sleep, Slow, Stop","Elixir (7/8), Crystal Orb (1/8)",Humanoid,Berserk,None,1,0,0
Magic Urn,"Fire, Ice, Lightning, Poison, Wind, Holy, Earth, Water",5,Fist,"Attack, Esuna, Curaga, Tornado",220,None,0,None,100,0,100,221,No,None,31,Cultists' Tower (Everywhere) [WoR],10000,Yes,35,190,0,"Potion, Potion, Potion, Megalixir (16/256)",None,Curaga,Easy,"Curaga (3/4), Esuna (1/4)",Whack (150% damage),40,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep, Slow, Stop","Potion (7/8), Elixir (1/8)",N/A,Nothing,None,0,0,0
M-TekArmor,None,18,Fist,"Attack, Magitek Laser",30,Hi-Potion (7/8),0,None,0,0,210,279,No,Protect,8,Escaping from Figaro Castle (after Kefka burns it) Imperial Camp,250,No,3,130,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",Control,Magitek Laser,Can't Run Away,"Attack (3/4), Magitek Laser (1/4)",Metal Kick (150% damage),25,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Sap","Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Critical, Image, Silence, Berserk, Confusion, Sleep Slow, Stop",Lightning,1,0,0
Mag Roader,None,14,Fist,"Attack, Slam",105,Flame Scroll (1/8),647,None,0,284,1380,186,No,Haste,32,Narshe Mines (North Mines and 1st Cave of West Mines)[WoR],70,Yes,10,150,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (128/256)",None,Lv.4 Flare,Hard,"Attack (3/4), Slam (1/4)",Slam (200% damage),33,"Darkness, Poison, Imp, Silence","Lightning Scroll (7/8), Shuriken (1/8)",N/A,"Zombie, MagiTek, Invisible, Petrify, Death, Doom, Critical Image, Berserk, Confusion, Sap, Sleep, Slow, Stop",None,0,0,0
Mag Roader,Ice,12,Fist,"Attack, Wheel",25,Water Scroll (1/8),232,None,0,277,420,84,No,Protect,19,Magitek Research Facility (Mine Cart),100,No,1,140,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (32/256)",None,Bio,Can't Run Away,"Attack (3/4), Wheel (1/4)",Wheel (150% damage),30,"Imp, Petrify, Death, Doom, Critical, Silence, Confusion Sleep","Lightning Scroll (7/8), Shuriken (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Berserk Sap, Slow, Stop",Fire,0,0,0
Mag Roader,None,10,Fist,"Attack, Slam",20,Flame Scroll (1/8),198,None,0,300,250,85,No,Haste,18,Magitek Research Facility (Mine Cart),100,No,1,140,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Silence,Can't Run Away,"Attack (3/4), Slam (1/4)",Slam (150% damage),25,"Imp, Petrify, Death, Doom, Critical, Berserk, Sleep","Lightning Scroll (7/8), Shuriken (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Silence Confusion, Sap, Slow, Stop",Ice,0,0,0
Mag Roader,None,13,Fist,"Attack, Wheel",115,Water Scroll (1/8),621,None,0,352,1777,185,No,None,32,Narshe Mines (North Mines and 1st Cave of West Mines) [WoR],100,Yes,10,145,0,"Golden Spear, Golden Shield, Golden Helm, Golden Armor (32/256)",None,Haste,Hard,"Attack (3/4), Wheel (1/4)",Wheel (150% damage),33,"Poison, Imp, Petrify, Silence","Lightning Scroll (7/8), Shuriken (1/8)",N/A,"Darkness, Zombie, MagiTek, Invisible, Death, Doom, Critical Image, Berserk, Confusion, Sap, Sleep, Slow, Stop",None,0,0,0
Displayer,Poison,13,Dragon Claws,"Attack, Rib, Death, Banish",150,Teleport Stone (1/8),1510,None,30,393,3826,232,No,None,38,Ebot's Rock (Rooms with Coral Chests) [WoR],1327,Yes,10,135,0,"Remedy, Remedy, Remedy, Remedy (64/256)",None,Death,Easy,"Death (3/4), Rib (1/4)",Rib (200% damage),44,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep",Teleport Stone (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap, Slow, Stop","Fire, Holy",0,0,0
Mad Oscar,"Poison, Water",20,Fist,"Attack, Drool, Bad Breath",95,"Holy Water (7/8), Remedy (1/8)",780,None,0,2292,2900,144,No,None,30,"Darill's Tomb (B2F, B3F) [WoR]",980,No,10,145,0,"Remedy, Remedy, Remedy, Remedy (128/256)",None,Bad Breath,Easy,"Bad Breath (3/4), Drool (1/4)",Drool (inflicts 'Sap'),30,"Imp, Doom, Critical, Silence, Sleep",X-Potion (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death Image, Berserk, Confusion, Sap, Slow, Stop",Fire,0,0,0
Mandrake,Water,16,Sasuke,"Attack, Stonetouch, Leech",115,Remedy (1/8),378,None,0,450,1150,102,No,Confusion,23,Esper Caves (Slopes),104,No,10,125,0,"Remedy, Remedy, Remedy, Remedy (255/256)",Meteor Strike,Leech,Easy,"Leech (3/4), Stonetouch (1/4)",Stonetouch (inflicts 'Petrify'),30,"Darkness, Poison, Invisible, Imp, Petrify, Death, Doom Image, Silence, Berserk, Confusion, Sleep",Hi-Potion (Always),N/A,"Zombie, MagiTek, Critical, Sap, Slow, Stop",Fire,0,0,0
Harpiai,None,19,Ice Rod,"Attack, Talon, Aero",102,None,449,None,0,909,1418,140,No,Float,29,North-Western Continent (Grass/Forest) [WoR],100,No,10,153,0,"Potion, Potion, Potion, Growth Egg (32/256)",Meteor Strike,Aero,Easy,"Aero (3/4), Talon (1/4)",Talon (150% damage),30,"Imp, Petrify, Death, Doom, Critical, Confusion, Sleep Slow, Stop",Phoenix Down (1/8),N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Image, Silence Berserk, Sap",Wind,0,0,0
Master Pug,Water,13,Dagger,"Attack, Knife",100,Gladius (Always),0,None,0,0,22000,328,No,None,73,Cave to the Ancient Castle (Monster-in-a-Box) [WoR],1200,No,9,165,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,"Attack (3/4), Knife (1/4)",Knife (800% damage),45,"Zombie, MagiTek, Invisible, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sap, Stop","Elixir (7/8), Megalixir (1/8)",N/A,"Darkness, Poison, Image, Sleep, Slow",None,1,0,0
Cluck,Poison,13,Ice Rod,"Attack, Lick, Quake",105,Teleport Stone (1/8),770,None,0,422,2366,234,No,None,38,Ebot's Rock (Everywhere EXCEPT in Rooms with Coral Chests) [WoR],185,No,10,155,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",None,Quake,Easy,"Quake (3/4), Lick (1/4)",Lick (inflicts 'Petrify'),33,"Darkness, Poison, Imp, Petrify, Critical, Silence, Berserk Confusion, Sleep",Teleport Stone (1/8),N/A,"Zombie, MagiTek, Invisible, Death, Doom, Image, Sap Slow, Stop",Ice,0,0,0
Mega Armor,None,19,Fist,"Attack, Metal Punch, Magitek Laser",120,None,350,None,0,0,1000,93,No,Protect,21,Imperial Observation Post (Talk to the soldier in the Magitek suit) Vector (While talking to 24 Soldiers before Banquet),50,No,10,100,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Meteor Strike, Control",None,Can't Run Away,"Magitek Laser (3/4), Metal Punch (1/4)",Metal Punch (150% damage),45,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Hi-Potion (7/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Vomammoth,None,110,Dragon Claws,"Attack, Bear Claw, Snowstorm",75,Hi-Potion (1/8),50,None,0,90,115,3,No,None,1,"Narshe (Biggs, Wedge, Terra raid) [WoB]",30,No,0,160,0,"Dried Meat, Dried Meat, Dried Meat, Dried Meat (128/256)",None,Snowstorm,Can't Run Away,"Snowstorm (3/4), Bear Claw (1/4)",Bear Claw (150% damage),25,Sleep,"Potion (7/8), Hi-Potion (1/8)",N/A,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Slow, Stop",Fire,0,0,0
Merchant,None,10,Dagger,"Attack, Hit",50,None,26,None,0,60,119,13,No,None,5,Locke's Scenario (South Figaro),20,No,10,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)","Libra, Control",None,Can't Run Away,"Attack (3/4), Hit (1/4)",Hit (150% damage),30,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep","Plumed Hat (7/8), Main Gauche (1/8)",Humanoid,None,None,0,0,0
IronHitman,None,13,Fist,"Attack, Destroy, Dischord, Magitek Laser",20,None,2000,None,0,700,2000,261,No,None,52,Kefka's Tower (1st/2nd Party,800,No,25,165,0,"Mythril Sword, Mythril Helm, Mythril Mail, Heavy Shield (64/256)",None,Dischord,Hard,"Dischord (3/4), Destroy (1/4)",Destroy (200% damage),31,"Zombie, Poison, MagiTek, Imp, Petrify, Sap",Auto Crossbow (1/8),N/A,"Darkness, Invisible, Death, Doom, Critical, Image, Silence Berserk, Confusion, Sleep, Slow, Stop","Lightning, Water",0,0,0
Misfit,Poison,26,Fist,"Attack, Enmity, Lifeshaver",105,None,750,None,0,786,1750,107,No,Float,26,Floating Continent,140,Yes,10,155,0,"Tent, Phoenix Down, Teleport Stone, Holy Water (128/256)",Meteor Strike,Lifeshaver,Easy,"Lifeshaver (3/4), Enmity (1/4)",Enmity (inflicts 'Darkness'),35,"Darkness, Zombie, Poison, Imp, Silence, Berserk, Sleep",Alarm Earring (1/8),Undead,"MagiTek, Invisible, Petrify, Death, Doom, Critical, Image Confusion, Sap, Slow, Stop","Fire, Holy",0,0,0
MissileBay,None,12,Partisan,"Attack, Hit",135,None,0,None,0,0,3000,304,No,None,25,Air (After you get blown off Blackjack by Typhon),7000,No,8,150,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Meteor Strike,None,Can't Run Away,"Attack (3/4), Hit (1/4)",Hit (150% damage),20,"Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify Death, Doom, Critical, Image, Silence, Berserk, Confusion Sap, Sleep",Debilitator (1/8),N/A,"Slow, Stop","Lightning, Water",1,0,0
Dahling,None,1,Ice Rod,"Attack, Silence, Cura",110,None,1151,None,20,1260,3580,156,No,None,37,Owzer's Mansion (Painting of Lady) [WoR],500,Yes,8,145,0,"Potion, Potion, Potion, Ribbon (32/256)",None,Cura,Can't Run Away,"Cura (3/4), Silence (1/4)",Eyeshadow (inflicts 'Darkness'),35,"Darkness, Zombie, MagiTek, Imp, Petrify, Death, Doom Critical, Silence, Berserk, Confusion, Sleep",Moogle Suit (1/8),Humanoid,"Poison, Invisible, Image, Sap, Slow, Stop",Poison,0,0,0
Moe,Lightning,4,Fist,"Attack, Hit",80,None,0,None,0,0,12500,325,Yes,Float,47,Cyan's Dream/Dreamscape (One of the Three Dream Stooges) [WoR],2000,Yes,6,130,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (0/256)",Control,None,Can't Run Away,"Attack (3/4), Hit (1/4)",Hit (200% damage),25,"Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death Doom, Critical, Silence, Confusion, Sap, Sleep, Slow",None,Humanoid,"Darkness, Image, Berserk, Stop",None,1,0,0
Hipocampus,Poison,15,Fist,"Attack, Acid Rain, Flash Rain",115,Teleport Stone (1/8),981,None,0,669,2444,236,No,Float,37,Ebot's Rock (Everywhere) [WoR],82,Yes,10,160,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (128/256)",Meteor Strike,Flash Rain,Easy,"Flash Rain (3/4), Acid Rain (1/4)",Mouth Clamp (inflicts 'Sap'),37,"Darkness, Zombie, Poison, Imp, Petrify, Silence, Berserk Sleep, Slow, Stop",Teleport Stone (1/8),Undead,"MagiTek, Invisible, Death, Doom, Critical, Image, Confusion Sap","Fire, Holy",0,0,0
Muus,None,11,Fist,"Attack, Gunk, Transfusion",110,None,189,"Poison, Wind, Holy, Earth, Water",0,287,900,142,No,Shell,28,North-Western Continent (Grass/Wasteland) [WoR],100,Yes,10,105,0,"Antidote, Green Cherry, Eye Drops, Gold Needle (255/256)",None,Transfusion,Hard,"Transfusion (3/4), Gunk (1/4)",Gunk (inflicts 'Slow'),30,"Darkness, Zombie, Poison, Imp, Petrify, Death, Doom Critical, Berserk, Confusion, Sleep",Magicite Shard (1/8),N/A,"MagiTek, Invisible, Image, Silence, Sap, Slow, Stop",None,0,0,0
